name;categories;subcategories;calories;protein;fat;carbs;calcium;iron;magnesium;allergens
Agar agar;Verschiedenes;Gelier- und Bindemittel;160.0;2.4;0.2;0.0;660.0;4.5;100.0;
Agave syrup;Süssigkeiten;Zucker und Süssstoffe;293.0;0.2;0.0;73.1;0.0;0.0;0.0;
Maple syrup;Süssigkeiten;Zucker und Süssstoffe;358.0;0.0;0.3;88.7;96.0;0.1;30.0;
Alga, Nori, dried;Gemüse;Gemüse getrocknet;255.0;31.5;1.6;10.5;320.0;37.0;490.0;
Älplermagronen, prepared;Gerichte;Sonstige salzige;180.0;6.0;9.0;17.9;120.0;0.4;20.0;
Amaranth, seeds, cooked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Sonstige Getreideprodukte;119.0;5.0;2.1;18.1;58.0;3.0;84.0;
Amaranth, seed, raw;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Sonstige Getreideprodukte;376.0;15.8;7.0;56.8;160.0;9.0;250.0;
Amaretti;Süssigkeiten;Guetzli;464.0;8.8;13.0;76.7;69.0;0.9;62.0;
Pineapple, in pineapple juice, canned, drained;Früchte;Früchte gekocht (inkl. Konserven);60.0;0.5;0.1;13.6;11.0;0.2;12.0;
Pineapple, in pineapple juice, canned, not drained;Früchte;Früchte gekocht (inkl. Konserven);59.0;0.4;0.1;13.6;10.0;0.2;12.0;
Pineapple, in syrup, canned, drained;Früchte;Früchte gekocht (inkl. Konserven);70.0;0.5;0.1;15.9;6.4;0.1;11.0;
Pineapple, with sweetener, canned, drained;Früchte;Früchte gekocht (inkl. Konserven);42.0;0.5;0.1;9.4;13.0;0.1;8.8;
Pineapple, raw;Früchte;Früchte frisch;52.0;0.5;0.1;11.7;14.0;0.2;11.0;
Pineapple juice;Früchte;Fruchtsäfte;51.0;0.4;0.1;12.1;16.0;0.2;14.0;
Apple, steamed, drained;Früchte;Früchte gekocht (inkl. Konserven);56.0;0.3;0.3;12.2;6.7;0.1;6.8;
Apple, peeled, dried;Früchte;Früchte getrocknet;264.0;1.4;1.6;55.4;30.0;1.2;23.0;
Apple, raw;Früchte;Früchte frisch;52.0;0.3;0.3;11.6;5.3;0.1;6.5;
Applesauce, sweetened (canned);Früchte;Früchte gekocht (inkl. Konserven);89.0;0.3;0.3;20.5;4.4;0.2;3.6;
Applesauce, unsweetened (canned);Früchte;Früchte gekocht (inkl. Konserven);55.0;0.3;0.3;11.7;4.8;0.2;4.0;
Apple juice;Früchte;Fruchtsäfte,Alkoholfreie Getränke;50.0;0.2;0.1;11.9;4.5;0.3;4.7;
Cider, 6.2 vol%;Alkoholhaltige Getränke;Wein;64.0;0.0;0.0;7.3;5.0;0.3;4.0;
Appenzeller, quarter fat;Milch und Milchprodukte;Hartkäse;235.0;33.1;11.4;0.0;1090.0;0.2;36.0;milk
Appenzeller, full-fat;Milch und Milchprodukte;Hartkäse;384.0;24.3;31.7;0.0;740.0;0.3;29.0;milk
Apricot, stewed, drained;Früchte;Früchte gekocht (inkl. Konserven);45.0;1.0;0.2;9.0;18.0;0.2;8.4;
Apricot, dried;Früchte;Früchte getrocknet;239.0;2.9;0.5;59.1;82.0;1.4;50.0;
Apricot, in syrup, canned, drained;Früchte;Früchte gekocht (inkl. Konserven);62.0;0.9;0.1;13.7;18.0;0.1;4.9;
Apricot, with sweetener, canned, drained;Früchte;Früchte gekocht (inkl. Konserven);40.0;0.9;0.1;8.2;16.0;0.2;7.6;
Apricot, raw;Früchte;Früchte frisch;44.0;0.8;0.1;9.0;15.0;0.2;8.4;
Artichokes, heart, drained (canned);Gemüse;Gemüse gekocht (inkl. Konserven);27.0;1.8;0.5;2.3;25.0;0.4;18.0;
Aubergine, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);23.0;1.0;0.2;3.2;10.0;0.2;13.0;
Aubergine, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);27.0;1.2;0.2;3.6;12.0;0.3;13.0;
Aubergine, raw;Gemüse;Gemüse frisch;23.0;1.0;0.2;3.1;10.0;0.3;13.0;
Cold cuts;Fleisch- und Wurstwaren;Brühwurstware;276.0;13.9;24.2;0.7;8.1;0.8;12.0;
Avocado, raw;Gemüse;Gemüse frisch,Nüsse, Samen und Ölfrüchte;144.0;1.8;14.2;0.8;16.0;1.0;33.0;
Baker's yeast, pressed;Verschiedenes;Hefe,Verschiedenes;96.0;16.7;1.2;1.1;16.0;2.9;41.0;
Balsamic vinegar;Verschiedenes;Salz, Gewürze und Aromen;128.0;0.7;0.6;25.8;18.0;1.0;12.0;
Banana, dried;Früchte;Früchte getrocknet;370.0;3.9;1.8;80.7;22.0;1.2;110.0;
Banana, dried;Früchte;Früchte getrocknet;273.0;3.0;1.0;60.2;20.0;1.3;90.0;
Banana, raw;Früchte;Früchte frisch;89.0;1.1;0.1;19.7;5.1;0.2;28.0;
Basil, raw;Gemüse;Kräuter;46.0;3.1;0.8;5.1;250.0;5.5;11.0;
Basel treat;Süssigkeiten;Guetzli;412.0;7.5;7.9;75.0;51.0;1.0;40.0;
Farmhouse bread;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;241.0;9.2;2.0;44.3;46.0;1.5;38.0;
Bauernschüblig;Fleisch- und Wurstwaren;Rohwurstware;524.0;21.3;48.5;0.3;4.8;1.5;23.0;
Tree nut;Nüsse, Samen und Ölfrüchte;;709.0;15.7;67.3;6.9;78.0;2.6;140.0;
Tree nut bread;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;332.0;9.2;17.9;30.8;31.0;2.1;67.0;
Tree nut oil;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.0;0.0;0.0;
Béchamel sauce, homemade;Verschiedenes;Saucen;147.0;4.2;9.9;10.1;120.0;0.1;12.0;
Berries , cooked;Früchte;Früchte gekocht (inkl. Konserven);36.0;0.7;0.6;5.3;18.0;0.2;11.0;
Berries , raw;Früchte;Früchte frisch;40.0;0.7;0.5;6.3;18.0;0.2;12.0;
Bernese alpine cheese;Milch und Milchprodukte;Hartkäse;453.0;27.1;38.3;0.0;920.0;0.0;0.0;milk
Bernese Hobelkäse;Milch und Milchprodukte;Hartkäse;491.0;30.0;41.2;0.0;0.0;0.0;0.0;milk
Bernese tongue sausage;Fleisch- und Wurstwaren;Brühwurstware;333.0;17.3;29.4;0.0;3.4;1.3;20.0;
Beaver;Süssigkeiten;Sonstige süsse Backwaren;355.0;7.8;5.6;65.6;52.0;1.3;30.0;
Beer, Radler;Alkoholhaltige Getränke;Bier;39.0;0.2;0.0;7.4;4.5;0.1;11.0;
Beer, non-alcoholic;Alkoholhaltige Getränke;Bier;23.0;0.4;0.0;4.9;4.8;0.0;6.2;
Beer, Lager;Alkoholhaltige Getränke;Bier;42.0;0.5;0.0;3.1;3.5;0.0;9.6;
Brewer's yeast, dried;Speziallebensmittel;Supplemente,Verschiedenes;354.0;47.9;4.2;26.5;50.0;18.0;230.0;
Beer sausage;Fleisch- und Wurstwaren;Brühwurstware;291.0;15.6;25.4;0.0;2.9;1.2;13.0;
Pear, stewed, drained;Früchte;Früchte gekocht (inkl. Konserven);57.0;0.6;0.4;11.3;8.0;0.1;8.6;
Pear, dried;Früchte;Früchte getrocknet;288.0;2.3;1.4;59.7;48.0;0.8;34.0;
Pear, in syrup, canned, drained;Früchte;Früchte gekocht (inkl. Konserven);71.0;0.4;0.4;15.2;8.8;0.0;4.0;
Pear, with sweetener, canned, drained;Früchte;Früchte gekocht (inkl. Konserven);50.0;0.5;0.3;9.9;7.0;0.1;7.5;
Pear, raw;Früchte;Früchte frisch;54.0;0.5;0.3;10.9;6.5;0.1;8.2;
Pear juice;Früchte;Fruchtsäfte,Alkoholfreie Getränke;52.0;0.5;0.3;12.1;10.0;0.2;7.0;
Birnenweggen;Süssigkeiten;Sonstige süsse Backwaren;363.0;4.9;10.4;57.2;64.0;1.6;32.0;egg
Blanc battu with fruit, with sweeteners;Milch und Milchprodukte;Frischkäse und Quark;67.0;8.0;0.2;8.3;130.0;0.1;13.0;milk
Blanc battu, nature, lean;Milch und Milchprodukte;Frischkäse und Quark;47.0;7.8;0.0;3.9;130.0;0.2;12.0;milk
Puff pastry , unbaked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teige;383.0;5.7;24.0;35.1;4.6;0.3;7.4;
Puff pastry, homemade , unbaked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teige;364.0;5.2;24.7;29.4;11.0;0.6;15.0;
Puff pastry, homemade , unbaked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teige;358.0;5.2;24.1;29.4;9.6;0.7;15.0;
Puff pastry sticks;Salzige Snacks;Blätterteiggebäcke;496.0;7.1;33.5;40.4;14.0;0.9;21.0;
Lettuce , raw;Gemüse;Gemüse frisch;18.0;1.6;0.3;1.4;53.0;1.0;13.0;
Blue cheese;Milch und Milchprodukte;Hartkäse;360.0;19.1;31.5;0.2;610.0;0.4;24.0;milk
Cauliflower, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);26.0;2.4;0.3;2.3;20.0;0.4;14.0;
Cauliflower, raw;Gemüse;Gemüse frisch;26.0;2.4;0.3;2.3;20.0;0.5;15.0;
Black pudding;Fleisch- und Wurstwaren;Kochwurstware;149.0;10.2;10.8;2.6;61.0;30.0;13.0;
Bean , cooked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Hülsenfrüchte;111.0;7.7;0.6;14.5;45.0;2.0;51.0;
Bean , dried;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Hülsenfrüchte;305.0;20.9;1.5;40.7;130.0;6.3;160.0;
Bean, green, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);32.0;2.2;0.2;3.8;58.0;0.9;27.0;
Bean, green, dried;Gemüse;Gemüse getrocknet;252.0;20.2;2.0;25.7;540.0;7.2;230.0;
Bean, green, raw;Gemüse;Gemüse frisch;31.0;2.1;0.2;3.6;56.0;1.0;28.0;
Bouillon, meat, prepared;Gerichte;Eintöpfe und Suppen;5.0;0.3;0.3;0.2;1.0;0.2;10.0;
Bouillon, poultry, prepared;Gerichte;Eintöpfe und Suppen;5.0;0.3;0.3;0.3;6.0;0.0;11.0;
Bouillon, vegetables, prepared;Gerichte;Eintöpfe und Suppen;6.0;0.3;0.4;0.4;1.0;0.1;4.0;
Branchli;Süssigkeiten;Schokolade und Kakaoerzeugnisse;558.0;8.3;35.7;49.1;190.0;1.5;79.0;
Grain brandy, 40 vol%;Alkoholhaltige Getränke;Spirituosen;234.0;0.0;0.0;0.1;1.9;0.0;1.0;
Brandy from wine;Alkoholhaltige Getränke;Spirituosen;228.0;0.0;0.0;1.9;0.0;0.0;1.0;
Brandy from sugar cane;Alkoholhaltige Getränke;Spirituosen;222.0;0.0;0.0;0.0;0.0;0.1;0.0;
